Ref,Val,Package,PosX,PosY,Rot,Side
"R20","DNI","R_0402_1005Metric",9.700000,-0.200000,0.000000,bottom
"R21","DNI","R_0402_1005Metric",6.960480,-0.200000,0.000000,bottom
"R22","DNI","R_0402_1005Metric",6.960480,-1.257760,0.000000,bottom
"C1","6p8","C_0402_1005Metric",-0.850000,-11.250000,270.000000,top
"C2","10n","C_0402_1005Metric",3.000000,-8.100000,0.000000,top
"C3","220p","C_0402_1005Metric",3.000000,-6.900000,0.000000,top
"C4","10p","C_0402_1005Metric",3.000000,-10.750000,180.000000,top
"C5","4p7","C_0402_1005Metric",3.000000,-11.950000,180.000000,top
"C6","6p8","C_0402_1005Metric",3.000000,-14.500000,180.000000,top
"C7","10n","C_0402_1005Metric",3.000000,-17.100000,180.000000,top
"C8","100n","C_0402_1005Metric",5.672700,-6.909260,180.000000,top
"C9","10n","C_0402_1005Metric",5.671780,-8.144920,180.000000,top
"C10","100n","C_0402_1005Metric",7.600000,-17.100000,0.000000,top
"C11","22n","C_0402_1005Metric",7.506580,-6.581600,180.000000,top
"C12","470p","C_0402_1005Metric",9.100000,-3.492380,90.000000,top
"C13","15n","C_0402_1005Metric",10.302410,-3.492380,90.000000,top
"C14","1n","C_0402_1005Metric",11.504820,-3.492380,90.000000,top
"C15","100n","C_0402_1005Metric",12.707230,-3.492380,270.000000,top
"C16","100n","C_0402_1005Metric",35.900000,-20.600000,270.000000,top
"C17","10n","C_0402_1005Metric",13.909640,-3.492380,90.000000,top
"C18","22p","C_0402_1005Metric",17.000000,-6.150000,180.000000,top
"C19","10n","C_0402_1005Metric",21.250000,-3.800000,270.000000,top
"C20","100n","C_0402_1005Metric",17.000000,-12.650000,180.000000,top
"C21","20p","C_0402_1005Metric",25.400000,-20.600000,90.000000,top
"C22","10n","C_0402_1005Metric",17.000000,-11.450780,180.000000,top
"C23","20p","C_0402_1005Metric",34.400000,-20.600000,90.000000,top
"C24","100n","C_0402_1005Metric",23.782900,-15.537640,180.000000,top
"C25","100n","C_0402_1005Metric",36.066340,-7.429960,180.000000,top
"C26","100n","C_0402_1005Metric",26.725400,-5.524960,180.000000,top
"C27","100n","C_0402_1005Metric",-3.100000,-12.850000,90.000000,top
"C28","100n","C_0402_1005Metric",-4.850000,-10.700000,180.000000,top
"C29","100n","C_0402_1005Metric",-3.600000,-0.100000,0.000000,top
"C30","10u/10V","CP_EIA-3216-18_Kemet-A",0.900000,-2.350000,0.000000,top
"C31","10u","C_0402_1005Metric",-3.600000,-3.100000,180.000000,top
"D1","red","LED_0402_1005Metric",46.200000,-0.850000,180.000000,top
"D2","green","LED_0402_1005Metric",43.700000,0.300000,180.000000,top
"D3","yellow","LED_0402_1005Metric",43.700000,-2.100000,180.000000,top
"D4","red","LED_0402_1005Metric",46.200000,-3.300000,180.000000,top
"D5","green","LED_0402_1005Metric",43.700000,-4.500000,180.000000,top
"D6","yellow","LED_0402_1005Metric",46.200000,-5.700000,180.000000,top
"D7","amber","LED_0402_1005Metric",43.700000,-6.900000,180.000000,top
"D8","red","LED_0402_1005Metric",46.200000,-8.100000,180.000000,top
"D9","blue","LED_0402_1005Metric",43.700000,-9.300000,180.000000,top
"L1","22n","L_0402_1005Metric",-2.450000,-10.700000,0.000000,top
"L2","20n","L_0402_1005Metric",0.700000,-10.700000,0.000000,top
"L3","13n","L_0402_1005Metric",3.000000,-9.450000,180.000000,top
"L4","27n","L_0402_1005Metric",2.998080,-13.165280,0.000000,top
"L5","10u","L_0402_1005Metric",-3.600000,-1.600000,0.000000,top
"L6","18n","L_0402_1005Metric",9.500000,-7.300000,0.000000,top
"R1","10k","R_0402_1005Metric",23.231720,-13.144960,180.000000,top
"R2","1k1","R_0402_1005Metric",3.000000,-15.800000,180.000000,top
"R3","3k8","R_0402_1005Metric",5.300000,-17.100000,0.000000,top
"R4","3r9","R_0402_1005Metric",6.452480,-5.380180,180.000000,top
"R5","560","R_0402_1005Metric",9.100000,-5.800000,90.000000,top
"R6","270","R_0402_1005Metric",10.302410,-5.800000,90.000000,top
"R7","10k","R_0402_1005Metric",37.600000,-20.600000,90.000000,top
"R8","1k","R_0402_1005Metric",17.000000,-7.400000,180.000000,top
"R9","1k","R_0402_1005Metric",17.000000,-8.700000,180.000000,top
"R10","1k","R_0402_1005Metric",17.000000,-10.000000,180.000000,top
"R11","1k","R_0402_1005Metric",40.700000,0.300000,180.000000,top
"R12","1k","R_0402_1005Metric",40.700000,-2.100000,180.000000,top
"R13","1k","R_0402_1005Metric",40.700000,-3.300000,180.000000,top
"R14","1k","R_0402_1005Metric",40.700000,-4.500000,180.000000,top
"R15","1k","R_0402_1005Metric",40.700000,-5.700000,180.000000,top
"R16","1k","R_0402_1005Metric",40.700000,-6.900000,180.000000,top
"R17","1k","R_0402_1005Metric",40.700000,-8.100000,180.000000,top
"R18","1k","R_0402_1005Metric",40.700000,-0.900000,0.000000,top
"R19","1k","R_0402_1005Metric",40.700000,-9.300000,180.000000,top
"SW1","DNI","SW_SPST_B3U-1000P",41.100000,-20.500000,0.000000,top
"U1","ADF7021","QFN-48-1EP_7x7mm_Pitch0.5mm",11.193750,-11.993750,0.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_Pitch0.5mm",30.400000,-12.100000,90.000000,top
"X1","TCXO","Crystal_SMD_3225-4pin_3.2x2.5mm",17.323680,-3.086560,180.000000,top
"Y1","8MHz","Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm",29.850000,-20.100000,0.000000,top
